preference_key,movie_title,star_cast,rating,year,place,vote,link
2,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.234775669076887,1994,1,,/title/tt0111161/
3,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.15624176453726,1972,2,,/title/tt0068646/
4,Batman: El caballero de la noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.988198260516135,2008,3,,/title/tt0468569/
1,El padrino 2,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.98410875342135,1974,4,,/title/tt0071562/
2,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.950095367895514,1957,5,,/title/tt0050083/
3,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.937140929246079,1993,6,,/title/tt0108052/
4,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.926284766207885,2003,7,,/title/tt0167260/
1,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.848916371647418,1994,8,,/title/tt0110912/
2,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.806819199691866,2001,9,,/title/tt0120737/
3," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.791726329301769,1966,1,,/title/tt0060196/
4,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767657439601118,1994,11,,/title/tt0109830/
1,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.748997579827575,1999,12,,/title/tt0137523/
2,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.733261082650133,2010,13,,/title/tt1375666/
3,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.731790553673983,2002,14,,/title/tt0167261/
4,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.700098393797985,1980,15,,/title/tt0080684/
1,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669859998608398,1999,16,,/title/tt0133093/
2,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.652016897861214,1990,17,,/title/tt0099685/
3,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.639920825606035,1975,18,,/title/tt0073486/
4,Seven,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604064832872059,1995,19,,/title/tt0114369/
1,Los siete samuráis,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.59950370712179,1954,20,,/title/tt0047478/
2,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.595789346730465,1946,21,,/title/tt0038650/
3,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.587967228021714,1991,22,,/title/tt0102926/
4,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579773854609696,2002,23,,/title/tt0317248/
1,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.578425899172423,1998,24,,/title/tt0120815/
